DE;EN;FR;SPECIES_CODE
Orinoco Wagtail-Tyrant (undescribed form);Orinoco Wagtail-Tyrant (undescribed form);calandrite sp. (de l'Orénoque, forme non décrite);oriwat1
Südstelzentyrann;Greater Wagtail-Tyrant;Calandrite bergeronnette;grwtyr1
Südstelzentyrann [budytoides-Gruppe];Greater Wagtail-Tyrant (Greater);Calandrite bergeronnette (groupe budytoides);grewat1
Südstelzentyrann (gracilis);Greater Wagtail-Tyrant (Caatinga);Calandrite bergeronnette (gracilis);grewat2
Olivbraun-Tachurityrann;Slender-billed Tyrannulet;Tyranneau à bec fin;slbtyr1
Grauscheitel-Tachurityrann;Plain Tyrannulet;Tyranneau terne;platyr1
Braunscheitel-Tachurityrann;Amazonian Tyrannulet;Tyranneau givré;amatyr1
Blassspitzen-Tachurityrann;Pale-tipped Tyrannulet;Tyranneau frangé;pattyr3
Gelbzügel-Schnäppertyrann;Flavescent Flycatcher;Moucherolle flavescent;flafly2
Olivrücken-Schnäppertyrann;Orange-crested Flycatcher;Moucherolle à cimier orange;orcfly1
Zimtflügel-Schnäppertyrann;Unadorned Flycatcher;Moucherolle simple;unafly1
Tepuischnäppertyrann;Roraiman Flycatcher;Moucherolle du Roraima;rorfly1
Grauflecken-Schnäppertyrann;Olive-chested Flycatcher;Moucherolle à poitrine olive;olcfly1
Rostschnäppertyrann;Bran-colored Flycatcher;Moucherolle fascié;brcfly1
Grauschulter-Schnäppertyrann;Mouse-gray Flycatcher;Moucherolle de Pallantanga;brcfly4
Rost-/Grauschulter-Schnäppertyrann;Bran-colored/Mouse-gray Flycatcher;Moucherolle fascié ou M. de Pallantanga;y01205
Orangebauch-Schnäppertyrann;Rufescent Flycatcher;Moucherolle rufescent;brcfly3
Grauschulter-/Orangebauch-Schnäppertyrann;Mouse-gray/Rufescent Flycatcher;Moucherolle de Pallantanga ou M. rufescent;y01206
Myiophobus, unbestimmt;Myiophobus sp.;Myiophobus sp.;myioph1
Eulerschnäppertyrann;Euler's Flycatcher;Moucherolle d'Euler;eulfly1
Eulerschnäppertyrann [flaviventris-Gruppe];Euler's Flycatcher (Lawrence's);Moucherolle d'Euler (groupe flaviventris);eulfly2
Eulerschnäppertyrann (euleri/argentinus);Euler's Flycatcher (Euler's);Moucherolle d'Euler (euleri/argentinus);eulfly3
Graubrust-Schnäppertyrann;Gray-breasted Flycatcher;Moucherolle à poitrine grise;gybfly1
Ockerbrust-Schnäppertyrann;Tawny-chested Flycatcher;Moucherolle à poitrine fauve;tacfly1
Schwarzschnabel-Schnäppertyrann;Black-billed Flycatcher;Moucherolle à bec noir;blbfly1
Brustband-Schnäppertyrann;Belted Flycatcher;Moucherolle ceinturé;belfly1
Schopfschnäppertyrann;Pileated Flycatcher;Moucherolle aztèque;pilfly1
Gelbbauch-Schnäppertyrann;Tufted Flycatcher;Moucherolle huppé;tuffly
Gelbbauch-Schnäppertyrann (phaeocercus/tenuirostris);Tufted Flycatcher (Mexican);Moucherolle huppé (phaeocercus/tenuirostris);tuffly1
Gelbbauch-Schnäppertyrann (aurantiiventris);Tufted Flycatcher (Costa Rican);Moucherolle huppé (aurantiiventris);tuffly2
Gelbbauch-Schnäppertyrann (berlepschi);Tufted Flycatcher (South American);Moucherolle huppé (berlepschi);tuffly3
Olivbauch-Schnäppertyrann;Olive Flycatcher;Moucherolle olive;olifly2
Olivflanken-Schnäppertyrann;Olive-sided Flycatcher;Moucherolle à côtés olive;olsfly
Ockergelb-Schnäppertyrann;Ochraceous Pewee;Moucherolle ocré;ochpew1
Mexikoschnäppertyrann;Greater Pewee;Moucherolle de Coues;grepew
Mexikoschnäppertyrann (pertinax);Greater Pewee (Mexican);Moucherolle de Coues (pertinax);grepew1
Mexikoschnäppertyrann (minor);Greater Pewee (Central American);Moucherolle de Coues (minor);grepew2
Trauerschnäppertyrann;Dark Pewee;Moucherolle ombré;darpew1
Schieferschnäppertyrann;Smoke-colored Pewee;Moucherolle bistré;smcpew1
Jamaikaschnäppertyrann;Jamaican Pewee;Moucherolle de Jamaïque;jampew1
Tumbesschnäppertyrann;Tumbes Pewee;Moucherolle de Puna;tropew2
Weißkehl-Schnäppertyrann;White-throated Pewee;Moucherolle à bavette blanche;whtpew1
Dunkelschnäppertyrann;Blackish Pewee;Moucherolle noirâtre;blapew1
Dunkel-Waldschnäppertyrann;Southern Tropical Pewee;Moucherolle cendré;tropew3
Blasskehl-Schnäppertyrann;Western Wood-Pewee;Pioui de l'Ouest;wewpew
Waldschnäppertyrann;Northern Tropical Pewee;Moucherolle de Bonaparte;tropew4
Tumbes-/Dunkel-Wald-/Waldschnäppertyrann;tropical pewee sp.;Moucherolle de Puna, M. cendré ou M. de Bonaparte;tropew1
Hellbauch-Schnäppertyrann;Eastern Wood-Pewee;Pioui de l'Est;eawpew
Blasskehl- x Hellbauch-Schnäppertyrann (Hybrid);Western x Eastern Wood-Pewee (hybrid);Hybride Pioui de l'Ouest x P. de l'Est;x00858
Blasskehl-/Hellbauch-Schnäppertyrann;Western/Eastern Wood-Pewee;Pioui de l'Ouest ou P. de l'Est;woopew
Kubaschnäppertyrann;Cuban Pewee;Moucherolle tête-fou;cubpew1
Hispaniolaschnäppertyrann;Hispaniolan Pewee;Moucherolle d'Hispaniola;hispew1
Kleinantillen-Schnäppertyrann;Lesser Antillean Pewee;Moucherolle gobemouche;leapew1
Kleinantillen-Schnäppertyrann (brunneicapillus);Lesser Antillean Pewee (Lesser Antilles);Moucherolle gobemouche (brunneicapillus);leapew2
Kleinantillen-Schnäppertyrann (blancoi);Lesser Antillean Pewee (Puerto Rico);Moucherolle gobemouche (blancoi);leapew3
Kleinantillen-Schnäppertyrann (latirostris);Lesser Antillean Pewee (St. Lucia);Moucherolle gobemouche (latirostris);leapew4
Contopus, unbestimmt;pewee sp. (Contopus sp.);Contopus sp.;pewee1
Augenstreif-Schnäppertyrann;Fuscous Flycatcher;Moucherolle fuligineux;fusfly1
Augenstreif-Schnäppertyrann (duidae);Fuscous Flycatcher (Campina);Moucherolle fuligineux (duidae);fusfly3
Augenstreif-Schnäppertyrann [fuscatus-Gruppe];Fuscous Flycatcher (Fuscous);Moucherolle fuligineux (groupe fuscatus);fusfly2
Birkenschnäppertyrann;Yellow-bellied Flycatcher;Moucherolle à ventre jaune;yebfly
Buchenschnäppertyrann;Acadian Flycatcher;Moucherolle vert;acafly
Erlenschnäppertyrann;Alder Flycatcher;Moucherolle des aulnes;aldfly
Weidenschnäppertyrann;Willow Flycatcher;Moucherolle des saules;wilfly
Weidenschnäppertyrann (traillii);Willow Flycatcher (Eastern);Moucherolle des saules (traillii);wilfly1
Weidenschnäppertyrann (brewsteri/adastus);Willow Flycatcher (Northwestern);Moucherolle des saules (brewsteri/adastus);wilfly2
Weidenschnäppertyrann (extimus);Willow Flycatcher (Southwestern);Moucherolle des saules (extimus);wilfly3
Erlen-/Weidenschnäppertyrann;Alder/Willow Flycatcher (Traill's Flycatcher);Moucherolle des aulnes ou M. des saules;y00324
Fahlkehl-Schnäppertyrann;White-throated Flycatcher;Moucherolle à gorge blanche;whtfly1
Zwergschnäppertyrann;Least Flycatcher;Moucherolle tchébec;leafly
Tannenschnäppertyrann;Hammond's Flycatcher;Moucherolle de Hammond;hamfly
Trockenbusch-Schnäppertyrann;Gray Flycatcher;Moucherolle gris;gryfly
Buschland-Schnäppertyrann;Dusky Flycatcher;Moucherolle sombre;dusfly
Tannen-/Buschland-Schnäppertyrann;Hammond's/Dusky Flycatcher;Moucherolle de Hammond ou M. sombre;y00014
Trockenbusch-/Buschland-Schnäppertyrann;Gray/Dusky Flycatcher;Moucherolle gris ou M. sombre;y00618
Kiefernschnäppertyrann;Pine Flycatcher;Moucherolle des pins;pinfly1
Western Flycatcher;Western Flycatcher;Moucherolle obscur;wesfly
Western Flycatcher (Pacific-slope);Western Flycatcher (Pacific-slope);Moucherolle obscur (groupe difficilis);pasfly
Western Flycatcher (Cordilleran);Western Flycatcher (Cordilleran);Moucherolle obscur (occidentalis/hellmayri);corfly
Western Flycatcher (Pacific-slope x Cordilleran Flycatcher);Western Flycatcher (Pacific-slope x Cordilleran Flycatcher);Moucherolle obscur (difficilis x hellmayri);x00770
Sumpfschnäppertyrann;Yellowish Flycatcher;Moucherolle jaunâtre;yelfly1
Sumpfschnäppertyrann (imperturbatus/salvini);Yellowish Flycatcher (Northern);Moucherolle jaunâtre (imperturbatus/salvini);yelfly11
Sumpfschnäppertyrann (flavescens);Yellowish Flycatcher (Southern);Moucherolle jaunâtre (flavescens);yelfly6
Orangebrust-Schnäppertyrann;Buff-breasted Flycatcher;Moucherolle beige;bubfly
Schwarzkappen-Schnäppertyrann;Black-capped Flycatcher;Moucherolle à tête noire;blcfly1
Empidonax, unbestimmt;Empidonax sp.;Empidonax sp.;empido
Schwarzkopf-Phoebetyrann;Black Phoebe;Moucherolle noir;blkpho
Schwarzkopf-Phoebetyrann [nigricans-Gruppe];Black Phoebe (Northern);Moucherolle noir (groupe nigricans);blkpho1
Schwarzkopf-Phoebetyrann (latirostris/angustirostris);Black Phoebe (White-winged);Moucherolle noir (latirostris/angustirostris);blkpho2
Weißbauch-Phoebetyrann;Eastern Phoebe;Moucherolle phébi;easpho
Schwarzkopf- x Weißbauch-Phoebetyrann (Hybrid);Black x Eastern Phoebe (hybrid);Hybride Moucherolle noir x M. phébi;x00621
Schwarzkopf-/Weißbauch-Phoebetyrann;Black/Eastern Phoebe;Moucherolle noir ou M. phébi;y01301
Zimtbauch-Phoebetyrann;Say's Phoebe;Moucherolle à ventre roux;saypho
Schwarzkopf- x Zimtbauch-Phoebetyrann (Hybrid);Black x Say's Phoebe (hybrid);Hybride Moucherolle noir x M. à ventre roux;x00635
Phoebetyrann, unbestimmt;phoebe sp.;Sayornis sp.;phoebe1
Chapadatyrann;Chapada Flycatcher;Moucherolle des Isler;chafly3
Grauscheitel-Olivtyrann/Chapadatyrann;Suiriri/Chapada Flycatcher;Tyranneau suiriri ou Moucherolle des Isler;y00883
Karibikstrauchtyrann;Northern Scrub-Flycatcher;Moucherolle des palétuviers;nosfly1
Amazonienstrauchtyrann;Amazonian Scrub-Flycatcher;Moucherolle de Todd;amsfly1
Pantanalstrauchtyrann;Southern Scrub-Flycatcher;Moucherolle modeste;sosfly1
Strauchtyrann, unbestimmt;scrub-flycatcher sp.;Sublegatus sp.;scrubf1
Rubintyrann;Vermilion Flycatcher;Moucherolle vermillon;verfly
Rubintyrann [mexicanus-Gruppe];Vermilion Flycatcher (Northern);Moucherolle vermillon (groupe mexicanus);verfly5
Rubintyrann (saturatus);Vermilion Flycatcher (saturatus);Moucherolle vermillon (saturatus);verfly6
Rubintyrann [obscurus-Gruppe];Vermilion Flycatcher (obscurus Group);Moucherolle vermillon (groupe obscurus);verfly7
Rubintyrann (rubinus);Vermilion Flycatcher (Austral);Moucherolle vermillon (rubinus);verfly1
Galápagostyrann;Brujo Flycatcher;Moucherolle des Galapagos;brufly1
Galápagostyrann (nanus);Brujo Flycatcher (Galapagos);Moucherolle des Galapagos (nanus);verfly3
Galápagostyrann (San-Cristóbal-Tyrann);Brujo Flycatcher (San Cristobal);Moucherolle des Galapagos (dubius);verfly8
Patagoniensporntyrann;Austral Negrito;Lessonie noire;ausneg1
Andensporntyrann;Andean Negrito;Lessonie des Andes;andneg1
Patagonien-/Andensporntyrann;Austral/Andean Negrito;Lessonie noire ou L. des Andes;y00603
Flussufer-Dunkeltyrann;Riverside Tyrant;Ada de l'Orénoque;rivtyr2
Flussufer-Dunkeltyrann (orenocensis);Riverside Tyrant (Orinoco);Ada de l'Orénoque (orenocensis);rivtyr3
Flussufer-Dunkeltyrann (sclateri);Riverside Tyrant (Sclater's);Ada de l'Orénoque (sclateri);rivtyr4
Flussufer-Dunkeltyrann (xinguensis);Riverside Tyrant (Xingu);Ada de l'Orénoque (xinguensis);rivtyr9
Fahlbauch-Dunkeltyrann;Rufous-tailed Tyrant;Ada à queue rousse;ruttyr1
Várzeadunkeltyrann;Amazonian Black-Tyrant;Ada d'Amazonie;ambtyr1
São-Francisco-Dunkeltyrann;Caatinga Black-Tyrant;Ada du Sao Francisco;whwblt2
Haubendunkeltyrann;Crested Black-Tyrant;Ada huppé;crbtyr1
Kurzschopf-Dunkeltyrann;Velvety Black-Tyrant;Ada noir;vebtyr1
Nordanden-Dunkeltyrann;Jelski's Black-Tyrant;Ada de Jelski;andtyr3
Mittelanden-Dunkeltyrann;Plumbeous Black-Tyrant;Ada de Cabanis;andtyr2
Nordanden-/Mittelanden-Dunkeltyrann;Jelski's/Plumbeous Black-Tyrant;Ada de Jelski ou A. de Cabanis;andtyr1
Einfarb-Dunkeltyrann;Blue-billed Black-Tyrant;Ada à bec bleu;bbbtyr1
Schwarzmasken-Dunkeltyrann;Cinereous Tyrant;Ada cendré;cintyr1
Weißspiegel-Dunkeltyrann;White-winged Black-Tyrant;Ada à ailes blanches;whwblt1
Weißspiegel-Dunkeltyrann (heterogyna);White-winged Black-Tyrant (White-rumped);Ada à ailes blanches (heterogyna);whwblt4
Weißspiegel-Dunkeltyrann (aterrimus/anthracinus);White-winged Black-Tyrant (White-winged);Ada à ailes blanches (aterrimus/anthracinus);whwblt5
Weißflanken-Dunkeltyrann;Hudson's Black-Tyrant;Ada de Hudson;hubtyr1
Weißspiegel-/Weißflanken-Dunkeltyrann;White-winged/Hudson's Black-Tyrant;Ada à ailes blanches ou A. de Hudson;y00971
Knipolegus, unbestimmt;black-tyrant sp.;Knipolegus sp.;blackt1
Brillendunkeltyrann;Spectacled Tyrant;Ada clignot;spetyr1
Weißbrauentyrann;Drab Water Tyrant;Moucherolle riverain;drwtyr1
Goldbrauentyrann;Yellow-browed Tyrant;Moucherolle à sourcils jaunes;yebtyr2
Tiefland-Grundtyrann;Little Ground-Tyrant;Dormilon fluviatile;ligtyr1
Schnabelfleck-Grundtyrann;Spot-billed Ground-Tyrant;Dormilon à bec maculé;sbgtyr1
Graubrust-Grundtyrann;Taczanowski's Ground-Tyrant;Dormilon gris;tacgrt1
Braunscheitel-Grundtyrann;Puna Ground-Tyrant;Dormilon de Junin;pugtyr1
Graubraun-Grundtyrann;Cinereous Ground-Tyrant;Dormilon cendré;cingrt1
Weißstirn-Grundtyrann;White-fronted Ground-Tyrant;Dormilon à front blanc;wfgtyr1
Gelbnacken-Grundtyrann;Ochre-naped Ground-Tyrant;Dormilon à nuque jaune;ongtyr1
Rotscheitel-Grundtyrann;Rufous-naped Ground-Tyrant;Dormilon à calotte rousse;rngtyr1
Rotscheitel-Grundtyrann (occipitalis);Rufous-naped Ground-Tyrant (Chestnut-naped);Dormilon à calotte rousse (occipitalis);rungrt3
Rotscheitel-Grundtyrann (pallidiceps);Rufous-naped Ground-Tyrant (pallidiceps);Dormilon à calotte rousse (pallidiceps);rungrt2
Rotscheitel-Grundtyrann (rufivertex);Rufous-naped Ground-Tyrant (Rufous-naped);Dormilon à calotte rousse (rufivertex);rungrt1
Maskengrundtyrann;Dark-faced Ground-Tyrant;Dormilon bistré;dafgrt1
Maskengrundtyrann (mentalis);Dark-faced Ground-Tyrant (mentalis);Dormilon bistré (mentalis);dafgrt2
Maskengrundtyrann (maclovianus);Dark-faced Ground-Tyrant (maclovianus);Dormilon bistré (maclovianus);dafgrt3
Rostkappen-Grundtyrann;White-browed Ground-Tyrant;Dormilon à sourcils blancs;wbgtyr1
Weißbrauen-Grundtyrann;Plain-capped Ground-Tyrant;Dormilon à grands sourcils;plcgrt1
Zimtbauch-Grundtyrann;Cinnamon-bellied Ground-Tyrant;Dormilon à ventre roux;cibgrt1
Schwarzstirn-Grundtyrann;Black-fronted Ground-Tyrant;Dormilon à front noir;bfgtyr1
Muscisaxicola, unbestimmt;ground-tyrant sp.;Muscisaxicola sp.;ground1
Rostbürzel-Buschtyrann;Red-rumped Bush-Tyrant;Moucherolle à croupion roux;rrbtyr1
Rostspiegel-Buschtyrann;Rufous-webbed Bush-Tyrant;Moucherolle à ailes rousses;rwbtyr1
Feueraugen-Scheckentyrann;Fire-eyed Diucon;Pépoaza oeil-de-feu;fiediu1
Weißbinden-Scheckenentyrann;White-rumped Monjita;Pépoaza voilé;whrmon2
Weißscheckenentyrann;White Monjita;Pépoaza irupéro;whimon1
Bartstreif-Scheckenentyrann;Gray Monjita;Pépoaza cendré;grymon1
Schwarzkappen-Scheckenentyrann;Black-crowned Monjita;Pépoaza couronné;bkcmon1
Weißnacken-Scheckenentyrann;Salinas Monjita;Pépoaza des Salinas;salmon1
Rotrücken-Scheckenentyrann;Rusty-backed Monjita;Pépoaza traquet;rubmon1
Hellschulter-Nonnentyrann;Chocolate-vented Tyrant;Pépoaza à ventre bai;chvtyr2
Schwarzschnabel-Hakentyrann;Black-billed Shrike-Tyrant;Gaucho à bec noir;bkbsht1
Weißschwanz-Hakentyrann;White-tailed Shrike-Tyrant;Gaucho à queue blanche;wtstyr1
Schwarzschwanz-Hakentyrann;Great Shrike-Tyrant;Grand Gaucho;gresht1
Weißbrauen-Hakentyrann;Gray-bellied Shrike-Tyrant;Gaucho argentin;gybsht1
Weißbrauen-Hakentyrann (andecola);Gray-bellied Shrike-Tyrant (andecola);Gaucho argentin (andecola);gybsht2
Weißbrauen-Hakentyrann (micropterus);Gray-bellied Shrike-Tyrant (micropterus);Gaucho argentin (micropterus);gybsht3
Schwarzschwanz-/Weißbrauen-Hakentyrann;Great/Gray-bellied Shrike-Tyrant;Grand Gaucho ou G. argentin;y01367
Kleinhakentyrann;Lesser Shrike-Tyrant;Gaucho souris;lessht1
Agriornis, unbestimmt;shrike-tyrant sp.;gaucho sp.;shrike1
Streifenkehl-Buschtyrann;Streak-throated Bush-Tyrant;Moucherolle à gorge rayée;stbtyr1
Santa-Marta-Buschtyrann;Santa Marta Bush-Tyrant;Moucherolle de Santa Marta;smbtyr1
Rußbuschtyrann;Smoky Bush-Tyrant;Moucherolle enfumé;smbtyr2
Rostbinden-Buschtyrann;Rufous-bellied Bush-Tyrant;Moucherolle à ventre fauve;rbbtyr1
Myiotheretes, unbestimmt;Myiotheretes sp.;Myiotheretes sp.;myioth2
Weißkopf-Wassertyrann;White-headed Marsh Tyrant;Moucherolle à tête blanche;whmtyr1
Elsterwassertyrann;Pied Water-Tyrant;Moucherolle pie;piwtyr1
Schwarzrücken-Wassertyrann;Black-backed Water-Tyrant;Moucherolle à dos noir;bbwtyr1
Graurücken-Wassertyrann;Masked Water-Tyrant;Moucherolle aquatique;mawtyr1
Kerbschwanztyrann;Shear-tailed Gray Tyrant;Moucherolle à queue-de-pie;shtgrt1
Kehlband-Schleppentyrann;Streamer-tailed Tyrant;Moucherolle yétapa;stttyr2
Schwarzschwanz-Scheckenentyrann;Black-and-white Monjita;Moucherolle dominicain;bawmon3
Hahnenschwanztyrann;Cock-tailed Tyrant;Moucherolle petit-coq;cottyr1
Rotkehl-Schleppentyrann;Strange-tailed Tyrant;Moucherolle à queue large;stttyr1
Nordanden-Schmätzertyrann;Crowned Chat-Tyrant;Pitajo couronné;crocht1
Nordanden-Schmätzertyrann (frontalis/albidiadema);Crowned Chat-Tyrant (Crowned);Pitajo couronné (frontalis/albidiadema);crocht2
Nordanden-Schmätzertyrann (spodionota/boliviana);Crowned Chat-Tyrant (Kalinowski's);Pitajo couronné (spodionota/boliviana);crocht3
Rostbürzel-Schmätzertyrann;Jelski's Chat-Tyrant;Pitajo de Jelski;jelcht1
Gelbbrauen-Schmätzertyrann;Golden-browed Chat-Tyrant;Pitajo à sourcils d'or;gobcht1
Gelbbauch-Schmätzertyrann;Yellow-bellied Chat-Tyrant;Pitajo diadème;yebcht1
Patagonienschmätzertyrann;Patagonian Tyrant;Pitajo de Patagonie;pattyr2
Gelbstirntyrann;Tumbes Chat-Tyrant;Pitajo de Tumbes;tumtyr2
Schiefermantel-Schmätzertyrann;Chestnut-bellied Chat-Tyrant;Pitajo à ventre brun;slbcht2
Schwarzbauch-Schmätzertyrann;Blackish Chat-Tyrant;Pitajo noir;slbcht1
Maronenbrust-Schmätzertyrann;Maroon-belted Chat-Tyrant;Pitajo à plastron;slbcht3
Orangebrust-Schmätzertyrann;Rufous-breasted Chat-Tyrant;Pitajo à poitrine rousse;rbctyr1
Fahlbrauen-Schmätzertyrann;Brown-backed Chat-Tyrant;Pitajo à dos brun;bbctyr1
Rötelbrauen-Schmätzertyrann;Rufous-browed Chat-Tyrant;Pitajo à sourcils roux;bnbcht2
Graurücken-Schmätzertyrann;d'Orbigny's Chat-Tyrant;Pitajo de d'Orbigny;dorcht1
Buntflügel-Schmätzertyrann;Piura Chat-Tyrant;Pitajo de Piura;pictyr1
Graubauch-Schmätzertyrann;White-browed Chat-Tyrant;Pitajo à sourcils blancs;wbctyr1
Schmätzertyrann, unbestimmt;chat-tyrant sp.;Sylvicultrix ou Ochthoeca sp.;chatty1
Weißkappen-Schleppentyrann;Long-tailed Tyrant;Moucherolle à longs brins;lottyr1
Stummelschwanztyrann;Short-tailed Field Tyrant;Moucherolle à queue courte;stftyr1
Gelbbrauen-Flachschnabeltyrann;Large-headed Flatbill;Tyran mégacéphale;lahfla2
Rostschwanz-Flachschnabeltyrann;Rufous-tailed Flatbill;Tyran rougequeue;rutfla1
Breitschnabel-Schopftyrann;Flammulated Flycatcher;Tyran flammé;flafly1
Dunkelschwanz-Flachschnabeltyrann;Dusky-tailed Flatbill;Tyran à queue sombre;dutfla1
Ramphotrigon, unbestimmt;Ramphotrigon sp.;Ramphotrigon sp.;rampho1
Graukopf-Attilatyrann;Rufous-tailed Attila;Attila à queue rousse;rutatt1
Zimtattilatyrann;Cinnamon Attila;Attila cannelle;cinatt1
Ockerattilatyrann;Ochraceous Attila;Attila ocré;ochatt1
Gelbbauch-Attilatyrann;Citron-bellied Attila;Attila à ventre jaune;cibatt1
Weißaugen-Attilatyrann;Dull-capped Attila;Attila à calotte grise;ducatt1
Streifenkehl-Attilatyrann;Gray-hooded Attila;Attila à tête grise;gyhatt1
Gelbbürzel-Attilatyrann;Bright-rumped Attila;Attila à croupion jaune;brratt1
Gelbbürzel-Attilatyrann [flammulatus-Gruppe];Bright-rumped Attila (Northern);Attila à croupion jaune (groupe flammulatus);brratt2
Gelbbürzel-Attilatyrann (spadiceus/uropygiatus);Bright-rumped Attila (Southern);Attila à croupion jaune (spadiceus/uropygiatus);brratt3
Attila, unbestimmt;attila sp.;Attila sp.;attila1
Grauschulter-Kappentyrann;Choco Sirystes;Tyran du Choco;siryst3
Halsband-Kappentyrann;White-rumped Sirystes;Tyran à croupion blanc;whrsir1
Guyanakappentyrann;Todd's Sirystes;Tyran mélodieux;todsir1
Olivrücken-Kappentyrann;Sibilant Sirystes;Tyran siffleur;sibsir1
Sirystes, unbestimmt;sirystes sp.;Sirystes sp.;siryst1
Zimtrücken-Röteltyrann;Rufous Casiornis;Casiorne roux;rufcas2
Braunrücken-Röteltyrann;Ash-throated Casiornis;Casiorne à dos brun;astcas2
Zimtschmucktyrann;Rufous Mourner;Tyran plaintif;rufmou1
Grauschmucktyrann;Grayish Mourner;Tyran grisâtre;gramou1
Hellbauch-Schmucktyrann;Pale-bellied Mourner;Tyran à ventre pâle;pabmou1
Rötelschopftyrann;Rufous Flycatcher;Tyran roux;ruffly1
Yucatánschopftyrann;Yucatan Flycatcher;Tyran du Yucatan;yucfly1
Jamaikaschopftyrann;Sad Flycatcher;Tyran triste;sadfly1
Schwarzkappen-Schopftyrann;Dusky-capped Flycatcher;Tyran olivâtre;ducfly
Schwarzkappen-Schopftyrann (olivascens);Dusky-capped Flycatcher (olivascens);Tyran olivâtre (olivascens);ducfly3
Schwarzkappen-Schopftyrann [lawrenceii-Gruppe];Dusky-capped Flycatcher (lawrenceii Group);Tyran olivâtre (groupe lawrenceii);ducfly4
Schwarzkappen-Schopftyrann (tuberculifer/pallidus);Dusky-capped Flycatcher (tuberculifer/pallidus);Tyran olivâtre (tuberculifer/pallidus);ducfly6
Schwarzkappen-Schopftyrann (nigriceps/atriceps);Dusky-capped Flycatcher (nigriceps/atriceps);Tyran olivâtre (nigriceps/atriceps);ducfly5
